0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2001,73884,72797,24123,48674,7640,1291,153,45,841,483,1527,326,345,2131,1187,2629
2002,74492,73280,25159,48121,7163,1122,161,45,1083,538,1999,367,391,2269,1411,2474
2003,74911,73736,26230,47506,6876,1000,173,44,1261,592,2545,409,454,2377,1754,2260
2004,75290,74264,27293,46971,6710,897,192,44,1436,625,2994,470,563,2521,2024,2066
2005,76120,74647,28389,46258,6488,810,188,45,1750,699,3458,557,688,2778,2366,2123
2006,76315,74978,29630,45348,6430,764,178,45,1920,741,3954,611,796,3012,2632,2147
2007,76531,75321,30953,44368,6424,718,170,43,2075,788,4581,680,903,3310,2672,2187
2008,77046,75564,32103,43461,6447,662,164,43,2194,840,5124,679,943,3609,2780,2167
2009,77510,75828,33322,42506,6420,618,160,37,2433,956,5544,721,978,4245,3063,2341
2010,78388,76105,34687,41418,6516,597,156,36,2613,1024,6071,770,1053,4467,3347,2540
2011,78579,76420,35914,40506,6704,603,149,37,3269,1183,6912,932,1217,5227,3442,2718
2012,78894,76704,37102,39602,6839,590,149,39,3787,1243,7557,969,1246,5643,3739,2986
2013,79300,76977,38240,38737,6365,566,108,25,6069,1721,8242,1397,1566,6142,4279,3193
2014,79690,77253,39310,37943,6312,537,103,22,6315,1751,9857,1393,1562,7009,4533,3575
2015,80091,77451,40410,37041,6208,481,92,20,6389,1798,11180,1344,1446,7800,5215,3882
2016,80694,77603,41428,36175,6170,453,86,18,6381,1824,12083,1305,1361,8627,5914,4235
2017,80686,77640,42462,35178,6064,406,77,13,6367,1846,13327,1290,1291,9348,6554,4878
2018,80525,77586,43419,34167,5740,347,66,12,6555,1875,13952,1153,1212,10440,7424,5597
2019,81104,77471,44247,33224,5473,296,60,12,6608,1879,14567,1157,1203,11692,8267,6000
